Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency
8,Yes,2,2,Yes,6.268862912,1
3,No,4,3,No,15,9
9,Yes,3,0,Yes,5,1
7,Yes,0,0,Yes,1,0
8,Yes,1,0,Yes,5,2
10,Yes,2,2,Yes,2,1
3,No,8,5,No,14,3
4.505816003,No,9,5,No,9,6
2,No,7,5,No,5,6
10,Yes,3,0,Yes,3,0
0,No,6,7,No,13,9
8,Yes,0,2,Yes,4,1
11,Yes,1,0,Yes,2,2
0,No,8,6,No,9,3
11,Yes,0,0,Yes,2,2
3,No,6,3,No,6,5
9,Yes,3.963354475,2,Yes,4,1
0,No,9,5,No,11,6
0,No,4,6,No,8,3
1,No,5,6,No,10,3
2,No,6,4,No,8,8
10,Yes,2,1,Yes,4,1
6,Yes,0,1,Yes,3,2
11,Yes,0,2,Yes,2,0
2,No,8,4,No,15,4
7,Yes,2,2,Yes,4,2
8,Yes,2,2,Yes,1,0
4,Yes,3.963354475,0,Yes,1,2
10,Yes,1,2,Yes,3,0
0,No,9,3,No,11,4
3,No,9,3,No,6.268862912,5
2,No,9,4,No,6.268862912,8
8,Yes,3,1,Yes,1,2
3,No,9,3,No,7,5
1,No,5,3,No,12,9
9,Yes,2,2,Yes,1,0
8,Yes,0,2,No,5,0
11,Yes,3,0,Yes,4,0
2,No,4,6,No,7,4
2,No,4,4,No,8,8
1,No,8,6,No,12,8
9,Yes,3,0,Yes,5,1
0,No,8,5,No,15,8
3,No,5,6,No,5,9
1,No,5,6,No,10,6
1,No,5,4,No,12,9
10,Yes,3,1,Yes,3,2
9,Yes,3,1,Yes,3,1
0,No,8,5,No,5,3
4,Yes,1,0,Yes,5,0
8,Yes,2,2,Yes,2,2
1,No,4,5,No,11,8
10,Yes,0,0,Yes,1,2
7,Yes,3,1,Yes,2,1
3,No,8,6,No,10,8
10,Yes,3,0,Yes,6.268862912,2
3,No,5,6,No,11,9
1,No,5,4,No,12,4
10,Yes,2,0,Yes,4,0
2,No,4,5,No,5,4
0,No,5,4,No,10,8
0,No,8,7,No,11,7
8,Yes,3,0,Yes,5,2
4,Yes,3.963354475,2,Yes,3,0
6,Yes,1,3,Yes,3,0
6,Yes,0,1,Yes,4,2
0,No,4,4,No,11,4
8,Yes,0,2,Yes,1,2
5,Yes,2,2,Yes,6.268862912,0
2,No,8,3,No,5,6
6,Yes,0,2,Yes,1,1
10,Yes,2,1,Yes,3,1
7,Yes,0,1,Yes,1,0
9,Yes,3,2,Yes,4,0
2,No,5,6,No,7,6
0,No,7,5,No,13,7
1,No,8,3,No,8,9
1,No,4,3,No,10,5
1,No,9,3,No,8,7
10,Yes,0,0,Yes,2,0
11,Yes,3,2,Yes,4,1
2,No,7,4,No,9,6
3,No,9,4,No,5,6
11,Yes,1,2,Yes,2,2
4.505816003,Yes,0,1,Yes,2,0
7,Yes,2,0,Yes,2,1
4.505816003,No,8,4,No,12,4
9,Yes,0,1,Yes,2,3.564726631
0,No,6,5,No,10,3.564726631
3,No,9,6,No,12,7
6,Yes,0,1,Yes,4,1
1,No,4,6,No,11,6
3,No,4,6,No,14,6
6,Yes,1,0,Yes,2,3.564726631
2,No,9,3,No,6,7
1,No,8,3,No,5,9
4.505816003,No,7,3,No,15,7
7,Yes,0,2,Yes,4,2
10,Yes,2,2,Yes,2,1
10,Yes,0,0,No,3,2
8,Yes,0,0,Yes,2,1
3,No,8,5,No,11,6
5,Yes,3,1,Yes,1,2
8,Yes,3,1,Yes,3,2
3,No,7,4,No,13,3
2,No,5,6,No,11,4
0,No,5,3,No,14,5
0,No,3.963354475,5,No,9,6
10,Yes,2,2,Yes,3,0
4,Yes,2,1,Yes,4,0
10,Yes,2,0,Yes,2,1
0,No,5,3,No,8,6
0,No,6,6,No,10,3
1,No,3.963354475,5,No,6,9
3,No,8,4,No,9,8
8,Yes,1,1,Yes,2,1
1,No,9,3,No,7,8
9,Yes,0,0,Yes,3,0
0,No,6,3,No,6,5
10,Yes,3,1,Yes,1,2
3,No,6,4,No,6.268862912,6
6,Yes,0,0,Yes,2,2
10,Yes,2,1,Yes,2,1
9,Yes,3,2,Yes,5,2
0,No,5,3,No,15,5
0,No,5,4,No,11,3.564726631
5,Yes,3,1,Yes,4,2
9,Yes,0,2,Yes,1,2
3,No,5,4,No,10,6
4,Yes,0,1,No,6.268862912,0
3,No,7,4,No,15,7
3,No,5,6,No,12,3.564726631
2,No,8,6,No,10,9
4,Yes,0,2,Yes,4,0
0,No,5,6,No,13,8
11,Yes,2,2,Yes,2,2
4.505816003,Yes,3,0,Yes,5,2
0,No,6,6,No,8,7
1,No,6,5,No,6.268862912,9
2,No,5,4,No,5,4
0,No,7,3,No,8,7
6,Yes,1,0,Yes,2,0
5,Yes,1,0,Yes,4,2
1,No,6,5,No,13,3
0,No,5,3,No,5,8
5,Yes,3,3,Yes,1,0
3,No,8,6,No,15,5
8,Yes,2,1,Yes,6.268862912,2
0,No,7,5,No,11,9
5,Yes,3,0,Yes,5,1
7,Yes,2,1,Yes,4,2
5,Yes,3,0,Yes,5,0
0,No,7,7,No,14,8
2,No,9,5,No,14,7
0,No,6,5,No,12,5
3,No,8,6,No,6,7
3,No,5,6,No,7,4
0,No,4,5,No,9,6
10,Yes,0,0,Yes,5,3.564726631
4,Yes,0,0,Yes,1,1
1,No,8,3,No,14,9
10,Yes,1,0,Yes,5,2
3,No,6,4,No,8,6
7,Yes,1,2,Yes,4,2
0,No,8,3,No,11,4
5,Yes,1,1,Yes,5,0
3,No,6,5,No,13,8
3,No,6,5,No,10,6
2,No,9,3,No,10,3.564726631
11,Yes,0,2,Yes,2,1
3,No,6,4,No,13,3
2,No,5,4,No,13,3
3,No,7,5,No,13,5
0,No,8,4,No,5,3
2,No,4,5,No,8,3
4,Yes,2,1,Yes,3,1
7,Yes,1,1,Yes,3,0
9,Yes,0,1,Yes,4,0
7,Yes,2,2,Yes,3,1
6,Yes,0,2,Yes,1,2
8,Yes,2,0,Yes,1,2
1,No,7,6,No,6.268862912,4
11,Yes,0,2,Yes,3,1
11,Yes,1,1,Yes,1,1
1,No,8,5,No,8,5
2,No,6,7,No,9,5
4,Yes,3,2,Yes,5,0
8,Yes,2,1,Yes,5,1
6,Yes,2,2,No,3,1
0,No,7,5,No,8,6
0,No,9,6,No,9,9
0,No,9,6,No,11,5
1,No,6,5,No,6,6
3,No,7,3,No,5,6
1,No,3.963354475,5,No,9,5
4.505816003,Yes,0,1,Yes,1,0
0,No,7,4,No,9,8
3,No,6,3,No,6,3
6,Yes,1,0,Yes,6.268862912,1
1,No,7,3,No,8,8
2,No,9,5,No,7,8
0,No,7,3,No,12,4
2,No,5,3,No,13,4
1,No,8,4,No,5,4
9,Yes,1,0,Yes,4,1
0,No,8,4,No,14,6
0,No,4,5,No,5,6
10,Yes,2,2,Yes,2,1
4,No,2,1,Yes,4,1
2,No,7,5,No,14,7
8,Yes,2,0,Yes,1,1
2,No,4,4,No,8,6
6,Yes,3,2,Yes,2,1
0,No,3.963354475,4,No,7,8
10,Yes,2,1,Yes,1,0
3,No,9,3,No,15,6
10,Yes,0,2,Yes,4,1
2,No,5,3,No,14,7
10,Yes,2,1,Yes,3,0
6,Yes,3,1,Yes,4,1
4.505816003,Yes,0,0,Yes,4,0
4,Yes,0,2,Yes,1,0
3,No,6,3,No,14,6
0,No,8,4,No,14,8
3,No,9,3,No,14,4
2,No,9,4,No,7,6
2,No,8,5,No,13,6
2,No,7,3,No,15,3
2,No,5,5,No,12,6
0,No,6,3,No,13,4
5,Yes,3,0,Yes,1,0
10,Yes,2,2,Yes,1,0
9,Yes,0,2,Yes,2,2
8,Yes,0,0,Yes,4,0
2,No,5,4,No,11,4
5,Yes,1,2,Yes,3,2
2,No,8,6,No,7,4
1,No,4,5,No,12,5
9,Yes,3,3,Yes,2,0
4,Yes,0,1,Yes,3,0
2,No,4,6,No,5,8
0,No,4,4,No,12,5
0,No,5,3,No,14,5
2,No,7,4,No,14,6
7,Yes,2,0,Yes,3,2
3,No,5,4,No,10,5
1,No,4,3,No,8,8
3,No,8,5,No,10,3.564726631
7,Yes,2,0,Yes,3,1
9,Yes,1,0,Yes,1,1
9,Yes,0,0,Yes,5,0
1,No,7,3,No,6,9
2,No,8,5,No,8,5
2,No,7,3,No,6.268862912,6
7,Yes,3,2,Yes,2,2
4,Yes,0,0,Yes,2,0
8,Yes,2,1,Yes,5,1
5,Yes,0,1,Yes,2,2
3,No,4,3,No,9,7
0,No,7,7,No,12,5
10,Yes,1,0,Yes,5,1
2,No,4,6,No,11,5
9,Yes,0,2,Yes,1,0
2,No,8,5,No,8,9
3,No,8,3,No,11,7
5,Yes,0,1,Yes,4,1
1,No,9,4,No,5,8
0,No,9,5,No,14,5
7,Yes,2,2,Yes,4,1
5,Yes,0,1,Yes,4,2
1,No,9,5,No,7,8
2,No,9,6,No,12,5
8,Yes,0,2,Yes,1,1
4,Yes,2,2,Yes,2,2
1,No,4,3,No,6,4
2,No,8,4,No,5,4
8,Yes,3,2,Yes,5,0
0,No,8,3,No,11,4
4,Yes,2,0,Yes,5,1
4,Yes,2,2,Yes,2,0
10,Yes,0,0,Yes,1,1
4,Yes,2,0,Yes,3,0
6,Yes,2,0,Yes,5,2
11,Yes,1,0,Yes,4,0
3,No,4,3,No,13,3.564726631
11,Yes,0,2,Yes,4,2
9,Yes,0,2,Yes,5,2
2,No,5,3,No,7,5
0,No,9,4,No,13,4
2,No,5,6,No,12,8
9,Yes,3,2,Yes,6.268862912,2
7,Yes,3.963354475,0,Yes,1,0
5,Yes,1,0,Yes,5,1
10,Yes,3,0,Yes,3,1
8,Yes,2,2,Yes,3,1
9,Yes,3,2,Yes,4,2
7,Yes,3,2,Yes,6.268862912,2
6,No,3,3,Yes,3,1
9,Yes,3,0,Yes,1,2
7,Yes,1,0,Yes,1,0
5,Yes,1,0,Yes,5,1
7,Yes,0,0,Yes,1,2
0,No,6,6,No,15,9
0,No,7,7,No,11,6
0,No,5,3,No,11,9
2,No,8,6,No,14,6
5,Yes,0,0,Yes,2,1
0,No,8,5,No,10,5
10,Yes,0,0,Yes,3,0
9,Yes,3,3,Yes,4,2
4.505816003,Yes,3,0,Yes,2,1
1,No,7,5,No,14,9
8,Yes,2,1,Yes,1,1
9,Yes,0,2,Yes,3,1
6,Yes,1,0,Yes,1,1
8,Yes,3,0,Yes,6.268862912,1
0,No,6,6,No,11,8
1,No,8,5,No,8,9
10,Yes,1,1,Yes,5,0
7,Yes,3,0,Yes,5,2
1,No,9,3,No,9,5
10,Yes,0,1,Yes,2,1
4,Yes,3,3,Yes,3,2
0,No,8,4,No,6,4
3,No,6,3,No,10,7
3,No,9,6,No,15,6
3,No,6,3,No,15,3.564726631
0,No,8,6,No,11,5
10,Yes,2,0,Yes,5,0
2,No,7,5,No,15,7
6,Yes,1,2,Yes,4,0
6,Yes,1,1,Yes,2,0
11,Yes,3,2,Yes,3,1
6,Yes,2,0,Yes,5,0
5,Yes,2,0,Yes,4,0
8,Yes,2,2,Yes,3,1
5,Yes,0,2,Yes,1,2
2,No,8,5,No,13,7
3,No,8,5,No,15,7
11,Yes,2,2,Yes,1,2
1,No,4,4,No,8,8
0,No,9,5,No,15,7
1,No,6,5,No,10,4
11,Yes,2,2,Yes,5,0
2,No,4,5,No,13,3
1,No,5,4,No,7,3
3,No,7,3,No,12,6
9,Yes,1,1,Yes,1,0
9,Yes,1,1,Yes,4,1
11,No,0,2,Yes,3,2
10,Yes,3,1,Yes,4,1
1,No,6,6,No,12,4
1,No,8,3,No,6,7
4,Yes,1,1,Yes,4,1
1,No,6,6,No,12,5
1,No,7,6,No,12,4
9,Yes,0,3,Yes,3,2
11,Yes,0,2,Yes,3,0
10,Yes,3,2,Yes,1,2
6,Yes,3,0,Yes,2,0
10,Yes,3.963354475,2,No,1,2
10,Yes,0,1,Yes,4,2
8,Yes,2,0,Yes,1,1
9,Yes,0,2,Yes,3,1
1,No,7,4,No,6,5
7,Yes,1,1,Yes,2,2
9,Yes,1,1,Yes,1,2
4,Yes,3,3,Yes,3,1
3,No,8,4,No,12,6
5,Yes,2,0,Yes,4,3.564726631
8,Yes,3,0,Yes,2,1
3,No,5,6,No,10,9
3,No,9,4,No,11,5
3,No,9,6,No,9,8
5,Yes,3,1,Yes,3,1
10,Yes,0,0,Yes,2,0
2,No,5,3,No,12,4
0,No,9,3,No,13,4
11,Yes,2,2,Yes,4,0
1,No,8,3,No,13,6
5,Yes,2,3,Yes,2,0
3,No,4,5,No,10,5
7,Yes,2,0,Yes,3,1
0,No,7,6,No,8,5
4,Yes,3,1,Yes,5,0
0,No,4,3,No,10,5
8,Yes,0,1,Yes,4,2
0,No,6,5,No,11,5
2,No,9,6,No,9,8
6,Yes,3,2,Yes,5,1
1,No,9,6,No,10,9
11,Yes,1,0,Yes,3,1
2,No,6,6,No,5,5
2,No,3.963354475,5,No,9,8
7,Yes,0,2,Yes,1,2
9,Yes,0,1,Yes,4,2
10,Yes,1,0,Yes,5,2
5,Yes,1,0,Yes,4,0
0,No,9,6,No,5,3
0,No,7,6,No,14,7
2,No,8,3,No,12,5
4.505816003,Yes,2,2,Yes,5,2
0,No,4,6,No,13,7
8,Yes,1,2,Yes,3,0
0,No,9,5,No,6,7
1,No,9,4,No,15,3.564726631
9,Yes,0,2,Yes,1,2
7,Yes,2,0,Yes,4,1
3,No,8,5,No,6.268862912,8
0,No,4,6,No,13,8
2,No,4,6,No,7,5
5,Yes,3,0,Yes,4,0
0,No,9,3,No,13,5
1,No,7,3,No,15,4
9,Yes,2,2,Yes,3,2
4,Yes,0,1,Yes,5,0
7,Yes,2,1,Yes,3,0
0,No,8,6,No,7,8
9,Yes,2,0,Yes,2,1
6,Yes,3,0,Yes,5,2
11,Yes,0,1,Yes,1,1
9,Yes,2,1,Yes,4,1
9,Yes,2,0,Yes,3,1
5,Yes,0,2,Yes,6.268862912,1
0,No,7,4,No,5,3
10,Yes,1,0,Yes,4,1
3,No,6,4,No,12,5
7,Yes,0,1,Yes,2,0
2,No,7,6,No,12,4
7,Yes,1,2,Yes,1,2
3,No,7,3,No,12,9
9,Yes,0,0,Yes,2,2
5,Yes,3,1,Yes,2,0
5,Yes,3,1,Yes,3,2
11,Yes,0,2,Yes,2,2
3,No,4,5,No,7,6
0,No,8,6,No,14,9
5,Yes,2,2,Yes,2,2
3,No,4,4,No,13,4
9,Yes,2,1,Yes,5,0
3,No,4,6,No,10,7
1,No,8,3,No,8,8
8,Yes,0,2,Yes,2,0
9,Yes,0,0,Yes,1,1
0,No,9,3,No,15,3.564726631
4.505816003,No,7,5,No,6,7
7,Yes,2,1,Yes,6.268862912,1
5,Yes,0,0,Yes,3,0
3,No,8,4,No,6.268862912,9
0,No,6,3,No,6.268862912,7
0,No,4,5,No,6,3
3,No,7,5,No,15,6
3,No,7,5,No,14,7
6,Yes,3,2,Yes,5,0
9,Yes,3,1,Yes,1,2
10,Yes,1,3,Yes,2,2
2,No,7,3,No,6.268862912,9
9,Yes,3,0,Yes,1,0
0,No,5,4,No,14,7
2,No,4,4,No,10,5
0,No,9,5,No,5,3
9,Yes,1,0,No,1,1
0,No,9,3,No,10,3.564726631
9,Yes,1,2,Yes,5,2
1,No,8,5,No,5,9
2,No,8,5,No,8,6
8,Yes,1,1,Yes,1,2
0,No,5,4,No,9,4
7,Yes,1,1,Yes,3,1
5,Yes,3,0,Yes,1,1
1,No,8,5,No,6.268862912,9
2,No,6,5,No,7,3
2,No,6,6,No,8,5
3,No,5,6,No,12,7
0,No,4,5,No,15,4
4,Yes,2,0,Yes,2,1
8,No,3,2,Yes,4,2
11,Yes,3,1,Yes,4,0
10,Yes,2,2,Yes,1,2
2,No,9,6,No,12,9
6,Yes,3.963354475,0,Yes,5,1
11,Yes,2,2,Yes,2,0
0,No,6,4,No,14,8
5,Yes,1,0,Yes,5,0
2,No,7,4,No,15,8
0,No,3.963354475,4,No,10,4
0,No,9,6,No,8,7
10,Yes,1,1,Yes,2,2
3,No,5,6,No,13,7
1,No,7,4,No,12,5
2,No,6,3,No,15,5
0,No,7,5,No,8,3
0,No,6,3,No,10,8
2,No,9,3,No,8,3.564726631
11,Yes,2,2,Yes,5,2
1,No,6,3,No,11,8
4.505816003,No,5,3,No,15,3
4,Yes,2,1,Yes,3,0
2,No,8,5,No,8,9
1,No,4,6,No,6,7
3,No,4,4,No,14,3
1,No,7,5,No,14,8
9,Yes,2,1,Yes,2,2
2,No,6,3,No,9,8
0,No,4,6,No,6,6
4,Yes,1,1,Yes,3,2
3,No,4,5,No,6,3.564726631
0,No,6,4,No,10,3
3,No,6,5,No,14,6
3,No,8,6,No,11,8
5,Yes,1,2,Yes,3,3.564726631
10,Yes,2,2,Yes,4,0
9,Yes,2,0,Yes,5,0
3,No,7,3,No,12,7
5,Yes,3,1,Yes,5,2
7,Yes,0,1,Yes,2,2
8,Yes,3,0,Yes,5,3.564726631
2,No,7,5,No,8,3.564726631
0,No,5,3,No,9,5
10,No,3,0,Yes,4,0
9,Yes,2,1,Yes,2,0
1,No,7,4,No,7,9
5,Yes,0,2,Yes,5,1
7,Yes,3,2,No,4,0
10,Yes,2,2,Yes,4,2
10,Yes,0,0,Yes,4,1
5,Yes,0,2,Yes,3,0
1,No,5,3,No,6,7
5,Yes,0,1,Yes,4,2
1,No,9,5,No,7,3
8,Yes,3.963354475,2,Yes,3,2
0,No,5,5,No,6.268862912,4
1,No,5,6,No,12,3
11,Yes,3,1,Yes,5,2
2,No,4,5,No,11,7
4.505816003,Yes,2,1,Yes,2,2
11,Yes,2,0,Yes,4,1
7,Yes,0,3,Yes,2,1
4.505816003,Yes,3,2,Yes,2,2
11,Yes,1,2,Yes,3,0
9,Yes,2,0,Yes,1,0
0,No,9,4,No,5,4
3,No,9,4,No,8,8
7,Yes,0,0,Yes,2,1
3,No,4,3,No,12,3
9,Yes,1,2,No,5,1
3,No,8,4,No,13,6
5,Yes,2,2,Yes,1,1
11,Yes,1,0,No,2,0
7,Yes,1,0,Yes,2,0
1,No,7,5,No,6,3
4.505816003,No,7,6,No,12,8
6,Yes,3.963354475,2,Yes,1,1
1,No,8,5,No,9,6
7,Yes,0,2,Yes,5,1
1,No,9,3,No,6,8
5,Yes,3,1,Yes,4,1
11,Yes,1,0,Yes,4,1
1,No,8,6,No,12,3
11,Yes,0,0,Yes,4,1
9,Yes,2,2,Yes,5,2
3,No,6,3,No,8,7
3,No,6,4,No,11,9
9,Yes,1,0,Yes,5,2
9,Yes,3.963354475,2,Yes,6.268862912,0
0,No,9,5,No,6,7
8,Yes,2,2,Yes,6.268862912,1
10,Yes,2,0,Yes,5,2
6,Yes,0,3,Yes,5,2
10,Yes,2,0,Yes,2,1
1,No,4,5,No,10,4
8,Yes,0,2,Yes,1,2
4,Yes,3,2,Yes,3,2
10,Yes,3.963354475,2,Yes,5,1
1,No,6,6,No,7,3
10,Yes,3.963354475,0,Yes,1,0
5,Yes,0,1,Yes,5,2
0,No,6,6,No,7,7
6,Yes,3,0,Yes,4,0
2,No,7,5,No,10,5
9,Yes,2,0,Yes,3,0
8,Yes,3,0,Yes,4,2
8,Yes,0,1,Yes,3,2
10,Yes,0,0,Yes,3,1
3,No,6,4,No,11,5
0,No,7,3,No,8,5
1,No,9,5,No,14,9
2,No,9,5,No,14,4
6,Yes,2,1,Yes,2,2
6,Yes,3,1,Yes,4,1
0,No,5,6,No,5,5
11,Yes,3,2,Yes,4,1
10,Yes,3,2,No,3,2
8,Yes,3,0,Yes,4,1
9,Yes,1,2,Yes,3,0
1,No,9,5,No,8,7
0,No,8,4,No,10,3
7,Yes,3.963354475,2,Yes,1,2
1,No,5,5,No,10,3
2,No,8,3,No,6,6
6,Yes,2,0,Yes,2,0
9,Yes,0,2,Yes,1,1
9,Yes,2,1,Yes,4,0
2,No,9,4,No,8,7
8,Yes,2,1,Yes,1,2
1,No,5,5,No,9,8
7,Yes,1,1,Yes,1,1
2,No,9,3,No,6,3
4,Yes,1,1,Yes,1,2
11,Yes,0,1,Yes,3,0
0,No,7,3,No,6,6
0,No,7,5,No,10,4
7,Yes,0,2,Yes,2,0
4.505816003,No,6,3,No,12,5
3,No,5,6,No,15,5
9,Yes,2,2,Yes,1,2
3,No,8,6,No,7,9
6,Yes,2,2,Yes,4,0
4,Yes,2,1,No,2,2
4,Yes,3,1,Yes,3,1
3,No,7,4,No,8,4
1,No,8,5,No,11,7
4,Yes,2,1,Yes,2,2
5,Yes,0,1,Yes,4,1
2,No,8,4,No,9,8
0,No,5,3,No,14,7
10,Yes,0,0,Yes,1,0
4,Yes,1,0,Yes,6.268862912,2
8,Yes,0,3,Yes,5,2
5,Yes,3,2,Yes,5,1
1,No,6,5,No,15,4
7,Yes,1,0,Yes,2,0
3,No,6,5,No,14,5
7,Yes,2,1,Yes,4,0
1,No,8,6,No,10,4
3,No,9,4,No,13,9
0,No,8,5,No,15,9
9,Yes,2,2,Yes,1,0
5,Yes,0,1,Yes,5,2
8,Yes,1,0,Yes,3,1
2,No,5,5,No,11,7
10,Yes,2,0,Yes,2,0
0,No,6,4,No,10,7
0,No,6,5,No,12,9
1,No,7,3,No,8,5
8,Yes,2,0,Yes,5,2
3,No,4,6,No,9,3
10,Yes,2,2,Yes,2,0
9,Yes,3,0,Yes,5,0
1,No,6,6,No,12,3
4,Yes,1,0,Yes,1,1
9,Yes,3,1,Yes,1,0
2,No,6,4,No,9,5
4,Yes,1,1,Yes,5,2
1,No,7,4,No,15,6
10,Yes,0,2,Yes,3,2
4,Yes,3,0,Yes,4,1
4,Yes,1,2,Yes,2,1
11,Yes,3,2,Yes,5,0
0,No,4,6,No,10,4
1,No,8,7,No,9,5
4.505816003,No,5,5,No,6,9
0,No,6,5,No,7,9
9,Yes,1,2,Yes,1,2
3,No,4,3,No,7,5
2,No,9,5,No,12,8
2,No,6,7,No,11,6
4,Yes,3.963354475,2,Yes,6.268862912,0
9,Yes,0,0,No,2,2
1,No,6,6,No,6.268862912,7
9,Yes,2,1,Yes,4,2
3,No,8,4,No,12,6
2,No,9,3,No,14,7
2,No,8,5,No,10,5
2,No,6,5,No,15,4
10,Yes,2,0,Yes,5,0
10,Yes,2,2,Yes,5,1
3,No,6,5,No,12,5
1,No,5,6,No,8,5
1,No,6,3,No,9,7
4,Yes,2,0,Yes,2,0
8,Yes,0,2,Yes,4,0
9,Yes,2,2,Yes,3,0
0,No,5,3,No,14,4
0,No,9,5,No,13,7
1,No,7,7,No,9,5
1,No,6,5,No,9,5
4,Yes,3,2,No,2,0
7,Yes,0,0,No,3,1
0,No,7,3,No,5,6
9,Yes,2,1,Yes,1,1
4.505816003,No,6,5,No,7,3
11,Yes,1,3,Yes,1,0
5,Yes,2,0,Yes,2,2
1,No,5,3,No,10,7
1,No,9,6,No,13,5
2,No,5,4,No,13,6
1,No,7,6,No,8,7
0,No,7,5,No,12,3
0,No,4,4,No,8,3
3,No,6,3,No,8,7
10,Yes,0,2,Yes,2,2
1,No,8,3,No,8,4
8,Yes,1,0,Yes,1,2
3,No,9,6,No,13,8
0,No,6,5,No,9,7
2,No,7,5,No,12,6
1,No,7,6,No,13,6
9,Yes,1,2,Yes,1,2
10,Yes,2,2,Yes,5,2
0,No,9,4,No,6.268862912,7
2,No,4,5,No,6.268862912,6
7,Yes,2,0,Yes,5,1
0,No,8,4,No,11,6
5,No,2,1,Yes,3,1
2,No,5,5,No,10,6
3,No,8,5,No,10,5
3,No,6,4,No,12,3
3,No,4,6,No,11,5
2,No,9,3,No,7,8
3,No,9,5,No,5,3
11,Yes,2,1,Yes,3,1
3,No,7,5,No,14,3
10,Yes,3.963354475,0,Yes,6.268862912,3.564726631
1,No,7,3,No,10,3.564726631
4.505816003,Yes,1,0,Yes,1,2
4,Yes,1,2,Yes,2,2
6,Yes,1,1,Yes,6.268862912,2
2,No,9,3,No,7,4
11,Yes,0,1,Yes,3,2
3,No,9,5,No,11,3
8,Yes,0,0,Yes,4,2
6,Yes,2,1,Yes,5,2
2,No,4,5,No,10,9
3,No,4,5,No,15,4
8,Yes,0,1,Yes,4,0
0,No,6,5,No,5,5
3,No,8,6,No,7,6
2,No,3.963354475,5,No,8,8
10,Yes,3,0,Yes,6.268862912,2
2,No,9,6,No,10,6
1,No,9,4,No,10,5
4.505816003,Yes,1,2,Yes,3,1
2,No,8,3,No,6,7
3,No,9,6,No,5,7
0,No,5,4,No,13,7
1,No,5,4,No,11,7
2,No,8,3,No,10,8
0,No,6,6,No,13,6
0,No,9,3,No,12,8
0,No,9,5,No,14,9
1,No,6,3,No,6,4
3,No,4,5,No,5,4
2,No,5,6,No,9,9
1,No,9,4,No,5,9
0,No,8,3,No,8,3.564726631
4,Yes,0,0,Yes,5,1
4,Yes,1,0,Yes,3,1
3,No,9,4,No,6,9
8,Yes,1,2,Yes,1,1
10,Yes,0,2,Yes,1,0
11,Yes,3,0,Yes,2,2
6,Yes,2,0,Yes,6.268862912,1
4,Yes,2,1,Yes,2,2
5,Yes,1,0,Yes,5,1
9,Yes,0,0,Yes,5,2
10,Yes,0,1,Yes,1,2
1,No,9,5,No,14,4
5,Yes,3.963354475,2,Yes,2,1
10,Yes,3,1,Yes,2,0
3,No,9,3,No,8,4
0,No,8,7,No,13,9
0,No,6,5,No,14,5
3,No,6,4,No,8,5
9,Yes,3,0,Yes,1,0
11,Yes,3,2,Yes,3,1
8,Yes,1,0,Yes,1,0
1,No,8,4,No,15,6
9,Yes,0,2,Yes,1,1
11,Yes,1,2,Yes,3,1
5,Yes,0,1,Yes,1,2
1,No,9,5,No,12,9
4.505816003,Yes,0,1,Yes,3,1
0,No,4,6,No,9,7
1,No,8,3,No,7,3
2,No,8,3,No,15,7
1,No,5,6,No,5,6
5,Yes,3,2,Yes,1,0
6,Yes,2,2,Yes,4,0
4.505816003,Yes,3,2,Yes,2,1
8,Yes,3,1,Yes,3,3.564726631
1,No,5,3,No,5,7
2,No,9,6,No,8,6
9,Yes,2,0,Yes,2,1
2,No,5,4,No,5,9
4.505816003,No,5,3,No,11,9
3,No,6,4,No,5,3.564726631
3,No,8,5,No,15,3
8,Yes,0,1,Yes,2,0
0,No,9,5,No,11,5
2,No,6,5,No,6,3
0,No,4,5,No,11,5
5,Yes,3,2,Yes,2,2
2,No,4,3,No,8,8
10,Yes,1,2,Yes,2,1
9,Yes,3,0,Yes,4,0
0,No,5,5,No,14,5
3,No,7,6,No,13,9
1,No,6,6,No,5,8
6,No,3.963354475,1,Yes,2,2
3,No,5,5,No,13,9
7,Yes,1,2,Yes,2,0
6,Yes,1,0,Yes,5,2
0,No,9,3,No,12,8
3,No,4,3,No,12,7
9,Yes,2,1,Yes,4,0
1,No,4,6,No,5,3
0,No,5,6,No,12,4
7,Yes,0,0,Yes,1,1
8,No,3,3,Yes,5,0
4.505816003,Yes,1,0,No,5,1
4,Yes,0,1,Yes,1,0
10,Yes,3,1,Yes,3,2
2,No,7,3,No,15,9
9,Yes,1,1,Yes,1,0
7,Yes,1,0,Yes,2,1
9,Yes,3,0,Yes,2,0
2,No,5,3,No,14,5
4,Yes,3,0,Yes,4,0
3,No,6,3,No,5,9
1,No,6,3,No,8,6
0,No,9,5,No,8,7
1,No,9,3,No,5,3
1,No,9,6,No,14,7
4.505816003,Yes,3,1,Yes,4,2
0,No,9,5,No,14,4
1,No,4,4,No,13,7
7,Yes,2,2,Yes,4,0
1,No,6,4,No,5,6
1,No,7,3,No,12,8
1,No,7,4,No,9,6
3,No,7,6,No,6,4
0,No,8,5,No,5,8
3,No,7,4,No,8,6
2,No,9,5,No,11,6
3,No,5,6,No,8,8
3,No,6,4,No,10,7
7,Yes,1,0,Yes,2,1
9,Yes,2,2,Yes,1,0
11,Yes,2,2,Yes,4,2
